Название;Продавец;URL;Дата;Цена;Номер;Описание;Регион;Город;Доп.параметры;Фото;Категория;Column1
R20 255/40 Летние;Aleksandre;https://www.myparts.ge/ru/pr/12205853/;02.10.2023;300.00;995574003573;DUNLOP დედალ-მამალი 255x40 & 235x45 2 ბორტიანი 2017 წლიანი;Шида-Картли;Гори;Страна производитель=Германия|Диаметр (R)=20|Ширина шины=255|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0221/12205853_1.jpg,https://static.my.ge/myparts/photos/thumbs/0221/12205853_2.jpg,https://static.my.ge/myparts/photos/thumbs/0221/12205853_3.jpg,https://static.my.ge/myparts/photos/thumbs/0221/12205853_4.jpg,https://static.my.ge/myparts/photos/thumbs/0221/12205853_5.jpg,https://static.my.ge/myparts/photos/thumbs/0221/12205853_6.jpg;Шины;
R17 255/75 Всесезонные;Gia;https://www.myparts.ge/ru/pr/12366023/;15.10.2023;1,400.00;995598774455;საბურავები არის თითქმის ახალი 5 ცალი 255/75/რ17;Шида-Картли;Гори;марка=BFGOODRICH|Диаметр (R)=17|Ширина шины=255|Высота шины=75|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1015/12366023_1.jpg,https://static.my.ge/myparts/photos/thumbs/1015/12366023_2.jpg,https://static.my.ge/myparts/photos/thumbs/1015/12366023_3.jpg,https://static.my.ge/myparts/photos/thumbs/1015/12366023_4.jpg;Шины;
R17 215/55 Всесезонные;Davit;https://www.myparts.ge/ru/pr/12370249/;21.10.2023;100.00;995599802021;ფაქტიურად ახალი, 95% იანი. მხოლოდ 1 ცალი. არის Всесезонныеს. მოხსნილია 2022 წლიან ტოიოტა ქემრზე;Шида-Картли;Гори;Страна производитель=США|Диаметр (R)=17|Ширина шины=215|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1021/12370249_1.jpg,https://static.my.ge/myparts/photos/thumbs/1021/12370249_2.jpg,https://static.my.ge/myparts/photos/thumbs/1021/12370249_3.jpg;Шины;
R18 225/55 Всесезонные;Zviad;https://www.myparts.ge/ru/pr/12372076/;24.10.2023;150.00;995577568865;საბურავები არის ნორმალურ მდგომარეობაში.მდებარეობა გორი.;Шида-Картли;Гори;Диаметр (R)=18|Ширина шины=225|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1024/12372076_1.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372076_2.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372076_3.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372076_4.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372076_5.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372076_6.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372076_7.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372076_8.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372076_9.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372076_10.jpg;Шины;
R28 320/85 Всесезонные;Zura;https://www.myparts.ge/ru/pr/11110928/;24.10.2023;135.00;995598365280;"გვაქვს ტრაქტორის ახალი საბურავები 8 იანიდან 38 იანი დიამეტრის ჩათვლით. წარმომავლობა: კორეა, თურქეთი, იაპონია-ინდოეთი. მისამართი; გორი, ცხინვალის გზატ. მე 2 კმ.";Шида-Картли;Гори;марка=YOKOHAMA|Диаметр (R)=28|Ширина шины=320|Высота шины=85|Сезон=Всесезонные|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/0719/11110928_1.jpg,https://static.my.ge/myparts/photos/thumbs/0719/11110928_2.jpg,https://static.my.ge/myparts/photos/thumbs/0719/11110928_3.jpg,https://static.my.ge/myparts/photos/thumbs/0719/11110928_4.jpg,https://static.my.ge/myparts/photos/thumbs/0719/11110928_5.jpg,https://static.my.ge/myparts/photos/thumbs/0719/11110928_6.jpg,https://static.my.ge/myparts/photos/thumbs/0719/11110928_7.jpg,https://static.my.ge/myparts/photos/thumbs/0719/11110928_8.jpg,https://static.my.ge/myparts/photos/thumbs/0719/11110928_9.jpg,https://static.my.ge/myparts/photos/thumbs/0719/11110928_10.jpg;Шины;
R19 235/40 Летние;Shavla;https://www.myparts.ge/ru/pr/12332324/;12.10.2023;600.00;995555363695;;Шида-Картли;Гори;марка=MICHELIN|Диаметр (R)=19|Ширина шины=235|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0820/12332324_1.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332324_2.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332324_3.jpg;Шины;
R16 225/55 Зимние;Kakha;https://www.myparts.ge/ru/pr/12348265/;22.10.2023;600.00;995599856818;ბრიჯსტოუნ ბლიზაკი, Зимние , 90% ტელ.;Квемо-Картли;Дманиси;марка=BRIDGESTONE|Страна производитель=Япония|Диаметр (R)=16|Ширина шины=225|Высота шины=55|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0916/12348265_1.jpg,https://static.my.ge/myparts/photos/thumbs/0916/12348265_2.jpg,https://static.my.ge/myparts/photos/thumbs/0916/12348265_3.jpg,https://static.my.ge/myparts/photos/thumbs/0916/12348265_4.jpg;Шины;
R20 245/45 Всесезонные;Kakha;https://www.myparts.ge/ru/pr/12370617/;22.10.2023;1,000.00;995599856818;Antares comfort a5 მწარმოებელი ჩინეთი, სულ ახლები, 4 ცალი 1000 ლარად, განიხილება მხოლოდ ოთხივე საბურავის ერთად გაყიდვა;Квемо-Картли;Дманиси;Страна производитель=Китай|Диаметр (R)=20|Ширина шины=245|Высота шины=45|Сезон=Всесезонные|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1022/12370617_1.jpg,https://static.my.ge/myparts/photos/thumbs/1022/12370617_2.jpg,https://static.my.ge/myparts/photos/thumbs/1022/12370617_3.jpg,https://static.my.ge/myparts/photos/thumbs/1022/12370617_4.jpg;Шины;
R16 235/85 Всесезонные;Gia;https://www.myparts.ge/ru/pr/12361364/;19.10.2023;200.00;995599742210;იყიდება 6 ცალი საბურავი.;Мцхета-Мтианетия;Душети;Страна производитель=Китай|Диаметр (R)=16|Ширина шины=235|Высота шины=85|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1008/12361364_1.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361364_2.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361364_3.jpg;Шины;
R17 225/45 Зимние;Dato;https://www.myparts.ge/ru/pr/12359436/;05.10.2023;550.00;995555221303;4ც მეორადი საბურავი კაგრ მდგომარეობაში 550 ლარი camry r17 225/45;Мцхета-Мтианетия;Душети;марка=CONTINENTAL|Страна производитель=Германия|Диаметр (R)=17|Ширина шины=225|Высота шины=45|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359436_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359436_2.jpg;Шины;
R20 175/65 Всесезонные;Giorgi;https://www.myparts.ge/ru/pr/12359927/;06.10.2023;400.00;995551378787;;Имеретия;Зестафони;Диаметр (R)=20|Ширина шины=175|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1006/12359927_1.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12359927_2.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12359927_3.jpg;Шины;
R17 225/55 Всесезонные;Daviti;https://www.myparts.ge/ru/pr/12365761/;14.10.2023;450.00;995555706688;ჩამოჰყვა დასაშლელ მანქანას. ახალთახალი , კვლავ ბუსუსებით. 225/55 R17;Имеретия;Зестафони;марка=MICHELIN|Страна производитель=США|Диаметр (R)=17|Ширина шины=225|Высота шины=55|Сезон=Всесезонные|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1014/12365761_1.jpg,https://static.my.ge/myparts/photos/thumbs/1014/12365761_2.jpg,https://static.my.ge/myparts/photos/thumbs/1014/12365761_3.jpg,https://static.my.ge/myparts/photos/thumbs/1014/12365761_4.jpg;Шины;
R17 225/45 Всесезонные;Qaz;https://www.myparts.ge/ru/pr/12370800/;22.10.2023;300.00;995597581466;3 ცალის ფასია 300ლარი;Самегрело-Верхняя Сванетия;Зугдиди;Страна производитель=США|Диаметр (R)=17|Ширина шины=225|Высота шины=45|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1022/12370800_1.jpg,https://static.my.ge/myparts/photos/thumbs/1022/12370800_2.jpg;Шины;
R18 285/60 Всесезонные;Geno;https://www.myparts.ge/ru/pr/12357857/;03.10.2023;400.00;995599004522;285/60. R18 4ცალი 400 ლ;Шида-Картли;Каспи;марка=DUNLOP|Страна производитель=Япония|Диаметр (R)=18|Ширина шины=285|Высота шины=60|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1003/12357857_1.jpg,https://static.my.ge/myparts/photos/thumbs/1003/12357857_2.jpg,https://static.my.ge/myparts/photos/thumbs/1003/12357857_3.jpg,https://static.my.ge/myparts/photos/thumbs/1003/12357857_4.jpg,https://static.my.ge/myparts/photos/thumbs/1003/12357857_5.jpg,https://static.my.ge/myparts/photos/thumbs/1003/12357857_6.jpg;Шины;
R15 185/65 Зимние;Soso;https://www.myparts.ge/ru/pr/12356243/;30.09.2023;200.00;995579252834;ზამთრის საბურავები 185/65/15;Шида-Картли;Каспи;марка=BRIDGESTONE|Страна производитель=Россия|Диаметр (R)=15|Ширина шины=185|Высота шины=65|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0930/12356243_1.jpg,https://static.my.ge/myparts/photos/thumbs/0930/12356243_2.jpg,https://static.my.ge/myparts/photos/thumbs/0930/12356243_3.jpg;Шины;
R19 235/50 Всесезонные;0;https://www.myparts.ge/ru/pr/12294571/;14.10.2023;100.00;995555448870;ოთხივე 400 ლარი იდეალური;Имеретия;Кутаиси;Диаметр (R)=19|Ширина шины=235|Высота шины=50|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0626/12294571_1.jpg;Шины;
R20 275/50 Всесезонные;0;https://www.myparts.ge/ru/pr/12294570/;14.10.2023;150.00;995555448870;✅ ოთხივე 600 ლარი;Имеретия;Кутаиси;Диаметр (R)=20|Ширина шины=275|Высота шины=50|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0626/12294570_1.jpg;Шины;
